	SRM (fmole/ug) - average of peptides_idp1_citric acid	SRM (fmole/ug) - average of peptides_idp1_glucose	SRM (fmole/ug) - average of peptides_idp1_malic acid	SRM (fmole/ug) - average of peptides_mae1_citric acid	SRM (fmole/ug) - average of peptides_mae1_glucose	SRM (fmole/ug) - average of peptides_mae1_malic acid	SRM (fmole/ug) - average of peptides_wild-type_citric acid	SRM (fmole/ug) - average of peptides_wild-type_glucose	SRM (fmole/ug) - average of peptides_wild-type_malic acid	SRM (fmole/ug) - average of peptides_zwf1_citric acid	SRM (fmole/ug) - average of peptides_zwf1_glucose	SRM (fmole/ug) - average of peptides_zwf1_malic acid	$\sigma$_idp1_citric acid	$\sigma$_idp1_glucose	$\sigma$_idp1_malic acid	$\sigma$_mae1_citric acid	$\sigma$_mae1_glucose	$\sigma$_mae1_malic acid	$\sigma$_wild-type_citric acid	$\sigma$_wild-type_glucose	$\sigma$_wild-type_malic acid	$\sigma$_zwf1_citric acid	$\sigma$_zwf1_glucose	$\sigma$_zwf1_malic acid
YALI0D06303g	22.60166666666667	65.16333333333334	32.40333333333333	35.64	58.31333333333333	7.773333333333333	32.86333333333334	72.24499999999999	36.901666666666664	18.871666666666666	16.088333333333335	10.388333333333334	3.078267911234063	8.807971294988043	5.463589326929073	3.8445513392332265	8.937563053390637	0.5201281893277206	4.494469749963096	7.6236031507417765	9.520348382981231	3.484915111352547	2.5994438507752644	0.7638771716273055
YALI0D07634g	42.98666666666667	174.12833333333333	88.665	41.526666666666664	196.79000000000005	25.94	44.87	275.2783333333333	49.52833333333333	92.44666666666667	176.47333333333333	66.11833333333333	1.7685893625523512	7.314660507045647	11.344960334879993	12.20290266015973	39.329766399001166	3.170047318258829	7.298905739903753	33.39342050963533	5.954830672095832	29.098228611606814	15.781750800634669	1.3116814908099197
YALI0D09361g	74.44666666666667	85.48833333333333	135.20166666666668	69.83166666666666	85.14999999999999	43.68833333333333	56.69	74.92333333333333	54.48166666666666	50.93833333333333	39.193333333333335	61.47666666666667	8.969930787544204	9.523644697978467	23.647860544525646	14.103795883851035	20.96255948113208	1.4076250684515823	4.74462063815433	6.516683077558204	1.7037996752357167	6.203938936944279	7.773765711245315	3.077224127900551
YALI0D11374g	13.586666666666666	18.021666666666665	27.291666666666668	18.163333333333338	12.238333333333335	15.76	14.274999999999999	9.156666666666668	16.088333333333335	12.086666666666666	8.763333333333334	23.24	0.5182743803559392	3.0787226788610473	4.374146583430116	0.6219793672890864	1.5995416010011556	0.5073706731769209	1.6287955672827692	1.7302047085051333	3.0089048395277187	1.1811893723418498	1.128121595101047	2.395266164750798
YALI0D12400g	2.13	3.8600000000000008	0.5816666666666667	22.323333333333334	4.108333333333333	0.12166666666666666	13.89	9.413333333333332	1.2383333333333335	1.0250000000000001	0.19499999999999998	0.13166666666666665	1.136177802986839	1.4970971912337556	0.21507750540987156	25.99209126510088	2.1544972344687134	0.020816659994661337	5.7346599724831115	8.513865651590548	0.7477020351271845	0.8797869060175878	0.09178779875342907	0.05251983752196241
YALI0D12628g	0.2966666666666667	0.48833333333333334	0.7666666666666666	0.3033333333333333	0.345	0.3316666666666667	0.27333333333333326	0.24833333333333332	0.27	0.19166666666666665	0.26666666666666666	0.5466666666666667	0.035472994422987916	0.06825198409814424	0.2025668613898466	0.07005949852327906	0.05074445782546109	0.033291640592396955	0.007637626158259743	0.014433756729740656	0.12489995996796797	0.0028867513459481273	0.05530220007679019	0.010408329997330632
YALI0D13024g	0.049999999999999996	0.165	0.04	0.48666666666666664	0.17666666666666667	0.03166666666666667	0.275	0.42	0.041666666666666664	0.043333333333333335	0.03333333333333333	0.061666666666666675	0.010000000000000002	0.11258330249197704	0.01802775637731994	0.5619237789356608	0.03055050463303895	0.007637626158259728	0.1116915395184434	0.385	0.015275252316519465	0.018929694486000914	0.007637626158259734	0.018929694486000917
YALI0D15334g	0.785	1.3916666666666666	1.5516666666666665	0.86	1.0483333333333336	0.9066666666666667	0.7116666666666666	0.7816666666666666	0.875	0.7033333333333333	0.8649999999999999	1.0833333333333333	0.0705336798983295	0.2330414841467788	0.31001344056884594	0.1915724406066802	0.19367068268928414	0.1150362261782494	0.06751543033509706	0.045368858629387346	0.2864873470155358	0.111504857891185	0.15173990905493523	0.08892881047969403
YALI0D16357g	9.953333333333333	17.836666666666662	14.581666666666669	10.441666666666666	17.808333333333334	6.486666666666667	9.819999999999999	19.873333333333335	11.336666666666668	9.761666666666668	15.069999999999999	11.285000000000002	2.724928133608909	2.135101480804446	1.960920277148803	2.088602004531579	5.051362027545971	0.2718608712803906	1.077926249796341	0.3911627964586278	1.4720422321840272	1.365341837538619	3.2293149428323034	0.36273268394232255
YALI0D16753g	91.13833333333334	202.98833333333334	142.55666666666667	117.23666666666668	315.02	53.72166666666667	122.95333333333333	357.76833333333326	129.54833333333332	130.45	123.15333333333332	73.86166666666666	3.5900290156673296	12.51131621106801	16.74562355761448	11.583579253984212	103.38677720095542	4.591757107397276	8.827596407478852	94.98650132167904	12.47180052491754	21.518865560247352	27.80948324462958	1.3999315459454926
YALI0D19140g	7.918333333333333	9.186666666666666	8.416666666666668	2.141666666666666	6.664999999999999	0.325	2.651666666666667	6.359999999999999	5.661666666666666	3.0316666666666663	1.5199999999999998	0.8183333333333334	0.9202218935307577	2.5218858684193726	1.8652234003821997	1.244892900346585	4.384937285754495	0.1322875655532295	0.27451472334527544	0.3994996871087634	7.297988307289436	0.6536308846232203	0.5543464620614078	0.1957251474219226
YALI0D20482g	0.25499999999999995	1.005	0.39666666666666667	0.2583333333333333	0.35250000000000004	0.18499999999999997	0.18416666666666667	0.42083333333333334	0.23833333333333337	0.22583333333333333	0.5108333333333334	0.3758333333333333	0.15787653403846946	0.3594353210245203	0.10308774579615818	0.08401388774085705	0.07454025757937786	0.006614378277661483	0.021842237370135267	0.020052015692526563	0.045092497528228956	0.06043246919771961	0.1245324589548176	0.037610946987989224
