"Reactions of gene from enzyme activities for itaconate production in yarrowia"	"Matches"
RXN-13303	G1FV3-26155
RXN-13305	G1FV3-26155
RXN-13304	G1FV3-26155 // G1FV3-29821
RXN-16096	G1FV3-26155
RXN-16113	G1FV3-26155
RXN-16155	G1FV3-26155
RXN-16130	G1FV3-26155
RXN-17110	G1FV3-26155
RXN-13444	G1FV3-26155
RXN-16021	G1FV3-26155
RXN-14485	G1FV3-26155
RXN-12969	G1FV3-26155
RXN-13001	G1FV3-26155
RXN-14494	G1FV3-26155
RXN-11750	G1FV3-26155
RXN-11842	G1FV3-26167
3-DEHYDROQUINATE-DEHYDRATASE-RXN	G1FV3-26186
SHIKIMATE-5-DEHYDROGENASE-RXN	G1FV3-26186
3-DEHYDROQUINATE-SYNTHASE-RXN	G1FV3-26186
SHIKIMATE-KINASE-RXN	G1FV3-26186
2.5.1.19-RXN	G1FV3-26186
RXN3O-4042	G1FV3-26191
HOMOSERKIN-RXN	G1FV3-26225
INORGPYROPHOSPHAT-RXN	G1FV3-26229 // G1FV3-28810
RXN-10974	G1FV3-26250
RXN-10971	G1FV3-26250
2.7.1.152-RXN	G1FV3-26250
SERINE-C-PALMITOYLTRANSFERASE-RXN	G1FV3-26310 // G1FV3-28421
TRANSALDOL-RXN	G1FV3-26320
LYSINE--TRNA-LIGASE-RXN	G1FV3-26353 // G1FV3-28116
ALKAPHOSPHA-RXN	G1FV3-26372
RXN-8748	G1FV3-26372
RXN-5822	G1FV3-26372
2PGADEHYDRAT-RXN	G1FV3-26377
RXN-9615	G1FV3-26381 // G1FV3-25234
RXN-15775	G1FV3-26392
PREPHENATE-DEHYDROGENASE-NADP+-RXN	G1FV3-26415
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	G1FV3-26423
GLUTAMATE-DEHYDROGENASE-RXN	G1FV3-26423 // G1FV3-24439
GLUTDEHYD-RXN	G1FV3-26423 // G1FV3-30251
RXN-12727	G1FV3-26442
RXN-7668	G1FV3-26457
RXN-15091	G1FV3-26481
RXN-12959	G1FV3-26481
TRANS-RXN1FV3-29	G1FV3-26487
DUTP-PYROP-RXN	G1FV3-26498
RXN-17518	G1FV3-26499
PROTOHEMEFERROCHELAT-RXN	G1FV3-26499
RXN-16158	G1FV3-26501
RXN-16042	G1FV3-26501
RXN-17024	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17023	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16118	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN0-5514	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17015	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17014	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16066	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-1623	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17729	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16067	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17022	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17013	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17020	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17012	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN0-6705	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16025	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16076	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16043	G1FV3-26501
RXN-17688	G1FV3-26501
2.3.1.23-RXN	G1FV3-26501
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16077	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16157	G1FV3-26501
RXN-17011	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17010	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16150	G1FV3-26501
RXN-16044	G1FV3-26501
RXN-16152	G1FV3-26501
RXN-16045	G1FV3-26501
RXN-17021	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-15036	G1FV3-26501
RXN-15043	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-9670	G1FV3-26501
RXN-17009	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17019	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-17008	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-15066	G1FV3-26501
RXN-16032	G1FV3-26501 // G1FV3-26069 // G1FV3-24859
RXN-16151	G1FV3-26501
RXN-16041	G1FV3-26501
VALINE--TRNA-LIGASE-RXN	G1FV3-26533
TRANS-RXN1FV3-30	G1FV3-26535
2.7.8.11-RXN	G1FV3-26538
CYTOCHROME-C-PEROXIDASE-RXN	G1FV3-26546
RXN-12508	G1FV3-26555 // G1FV3-25225
RXN0-1134	G1FV3-26555 // G1FV3-25225
RXN-12583	G1FV3-26555 // G1FV3-25225
PORPHOBILSYNTH-RXN	G1FV3-26559
2-DEHYDROPANTOATE-REDUCT-RXN	G1FV3-26564
GLYRIBONUCSYN-RXN	G1FV3-26569
AIRS-RXN	G1FV3-26569
RXN-18368	G1FV3-26577 // G1FV3-29818
CARNITINE-O-ACETYLTRANSFERASE-RXN	G1FV3-26577 // G1FV3-29818
RXN-18367	G1FV3-26577 // G1FV3-29818
OROPRIBTRANS-RXN	G1FV3-26593
TRANS-RXN1FV3-31	G1FV3-26604
RXN-14129	G1FV3-26636
RXN-14197	G1FV3-26636
CYTDEAM-RXN	G1FV3-26636
3.5.2.17-RXN	G1FV3-26640
DIHYDROOROT-RXN	G1FV3-26648
THRESYN-RXN	G1FV3-26666
ALLANTOINASE-RXN	G1FV3-26667
6.3.5.6-RXN	G1FV3-26675
6.3.5.7-RXN	G1FV3-26675
ADENOSINE-KINASE-RXN	G1FV3-26676
2.7.1.68-RXN	G1FV3-26681
GLUTACONYL-COA-DECARBOXYLASE-RXN	G1FV3-26689
GLUTARYL-COA-DEHYDROGENASE-RXN	G1FV3-26689
GLUTARYL-COA-DEHYDROG-RXN	G1FV3-26689
RXN-8141	G1FV3-26693
TRANS-RXN1FV3-34	G1FV3-26698
GALACTURIDYLYLTRANS-RXN	G1FV3-26699
RXN1FV3-1	G1FV3-26722 // G1FV3-26537 // G1FV3-26349 // G1FV3-26322 // G1FV3-26043 // G1FV3-25832 // G1FV3-25756 // G1FV3-25743 // G1FV3-25470 // G1FV3-25433 // G1FV3-25242 // G1FV3-24737 // G1FV3-24519 // G1FV3-24454 // G1FV3-24395 // G1FV3-28045 // G1FV3-27837 // G1FV3-27628 // G1FV3-27593 // G1FV3-27084 // G1FV3-29664 // G1FV3-30888
RXN-15829	G1FV3-26730 // G1FV3-26009 // G1FV3-25692 // G1FV3-25560 // G1FV3-29434 // G1FV3-31139 // G1FV3-30540
RXN-14107	G1FV3-26730 // G1FV3-26009 // G1FV3-25692 // G1FV3-25560 // G1FV3-29434 // G1FV3-31139 // G1FV3-30540
RXN-15816	G1FV3-26730 // G1FV3-26009 // G1FV3-25692 // G1FV3-25560 // G1FV3-29434 // G1FV3-31139 // G1FV3-30540
1.10.2.2-RXN	G1FV3-26730 // G1FV3-26009 // G1FV3-25692 // G1FV3-25560 // G1FV3-29434 // G1FV3-31139 // G1FV3-30540
RXN0-2381	G1FV3-26739
TRYPSYN-RXN	G1FV3-26739
RXN0-2382	G1FV3-26739
PRPPSYN-RXN	G1FV3-26746 // G1FV3-25480 // G1FV3-29960 // G1FV3-29404
RXN0-5330	G1FV3-26750
MMUM-RXN	G1FV3-26772
RXN0-1441	G1FV3-26794
GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	G1FV3-26799
RXN0-5293	G1FV3-26799
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	G1FV3-26799
SUCCSEMIALDDEHYDROG-RXN	G1FV3-26799
TRANS-RXN1FV3-17	G1FV3-26804 // G1FV3-25591
ASPARTATE--TRNA-LIGASE-RXN	G1FV3-26809 // G1FV3-28055
RXN-8664	G1FV3-26810
RXN-8665	G1FV3-26810
ADENYL-KIN-RXN	G1FV3-26813 // G1FV3-29398
3-OXOACID-COA-TRANSFERASE-RXN	G1FV3-26816
RXNI-2	G1FV3-26816
OHMETHYLBILANESYN-RXN	G1FV3-26817
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	G1FV3-26866
6-PHOSPHOFRUCTO-2-KINASE-RXN	G1FV3-26876 // G1FV3-24800
CHITIN-SYNTHASE-RXN	G1FV3-26910 // G1FV3-25003 // G1FV3-28220 // G1FV3-27198 // G1FV3-29365 // G1FV3-30087
1.2.1.2-RXN	G1FV3-26914 // G1FV3-26340 // G1FV3-26245 // G1FV3-24723 // G1FV3-24651 // G1FV3-28913 // G1FV3-28637 // G1FV3-30369 // G1FV3-30249 // G1FV3-30935
ASPAMINOTRANS-RXN	G1FV3-26934 // G1FV3-29463
RXN-13697	G1FV3-26934 // G1FV3-29463
RXN-11737	G1FV3-26934 // G1FV3-29463
RXN-10814	G1FV3-26934 // G1FV3-24950 // G1FV3-29463
METHIONINE--TRNA-LIGASE-RXN	G1FV3-26952 // G1FV3-27214
RXN-16165	G1FV3-26952 // G1FV3-27214
FGAMSYN-RXN	G1FV3-26961
TRANS-RXN1FV3-8	G1FV3-26963 // G1FV3-24487
TRANS-RXN1FV3-35	G1FV3-26963 // G1FV3-24487
TRANS-RXN1FV3-36	G1FV3-26963 // G1FV3-24487 // G1FV3-29126
DEOXYADENPHOSPHOR-RXN	G1FV3-26966
DEOXYGUANPHOSPHOR-RXN	G1FV3-26966
DEOXYINOPHOSPHOR-RXN	G1FV3-26966
RXN-11715	G1FV3-26966
RXN-11743	G1FV3-26966
RXN-14029	G1FV3-26966
RXN-7001	G1FV3-26966
PNP-RXN	G1FV3-26966
ADENPHOSPHOR-RXN	G1FV3-26966
RXN0-5199	G1FV3-26966
INOPHOSPHOR-RXN	G1FV3-26966
XANTHOSINEPHOSPHORY-RXN	G1FV3-26966
ATP-ADENYLYLTRANSFERASE-RXN	G1FV3-26976
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	G1FV3-26983
RXN0-2141	G1FV3-26992
RXN-16615	G1FV3-26992
RXN-8391	G1FV3-26992
RXN-10654	G1FV3-26992
RXN-16621	G1FV3-26992
RXN-16625	G1FV3-26992
3-OXOACYL-ACP-SYNTH-RXN	G1FV3-26992 // G1FV3-30227 // G1FV3-30029
RXN-9516	G1FV3-26992
RXN-10658	G1FV3-26992
RXN-9531	G1FV3-26992
RXN-9535	G1FV3-26992 // G1FV3-30227 // G1FV3-30029
RXN-11479	G1FV3-26992
RXN-9523	G1FV3-26992
RXN-11474	G1FV3-26992
RXN-9539	G1FV3-26992
2.3.1.179-RXN	G1FV3-26992
RXN3O-1803	G1FV3-26992 // G1FV3-30227 // G1FV3-30029
3-OXOACYL-ACP-SYNTH-BASE-RXN	G1FV3-26992 // G1FV3-30227 // G1FV3-30029
2.3.1.41-RXN	G1FV3-26992
RXN-9527	G1FV3-26992
RXN-16629	G1FV3-26992
RXN1G-460	G1FV3-26992
METHENYLTHFCYCLOHYDRO-RXN	G1FV3-26995 // G1FV3-24059
METHYLENETHFDEHYDROG-NADP-RXN	G1FV3-26995 // G1FV3-24059
FORMATETHFLIG-RXN	G1FV3-26995 // G1FV3-24059
D-ARABINOSE-1-DEHYDROGENASE-RXN	G1FV3-26998
CHITIN-DEACETYLASE-RXN	G1FV3-26999
CATAL-RXN	G1FV3-27006 // G1FV3-25594 // G1FV3-25571
RXN66-1	G1FV3-27006 // G1FV3-25594 // G1FV3-25571
RXN-14189	G1FV3-27006 // G1FV3-25594 // G1FV3-25571
HOMOCITRATE-SYNTHASE-RXN	G1FV3-27011
URACIL-PRIBOSYLTRANS-RXN	G1FV3-27020
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
ADPREDUCT-RXN	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
CDPREDUCT-RXN	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
RXN0-747	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
RXN0-748	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
GDPREDUCT-RXN	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
RXN0-722	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
UDPREDUCT-RXN	G1FV3-27042 // G1FV3-27204 // G1FV3-29524
ISOCIT-CLEAV-RXN	G1FV3-27053 // G1FV3-29027
