	fluxes	reduced_costs
y000483	0.0	-0.0
y000484	0.0	-0.0
y000485	0.0	-0.6347429916131945
y000486	2.000000000000002	-4.3021142204224816e-16
y000487	0.0	1.3322676295501878e-15
y000488	0.0	-0.1778604752979076
y000490	-7.5541789623255e-18	0.0
y000491	0.0	0.0
y000492	-2.202876568237043e-18	0.0
y000493	0.0	-12.082730887260523
y000494	0.0	-0.06840787511458934
y000495	0.0	0.0
y000496	0.0	0.0
y000497	0.0	2.220446049250313e-16
y000499	0.0	-0.0410447250687489
y000501	0.2653404659944453	2.220446049250313e-16
y000502	-2.4632860688451263e-15	0.0
y000503	-0.2653404659944453	-0.0
y000504	0.0	1.1102230246251565e-16
y000505	4.8478932846508054e-17	0.0
y000506	0.0	0.0
y000507	0.0	1.1102230246251565e-16
y000508	0.0	0.0
y000509	0.0	0.0
y000510	0.0	-0.027363150045832896
y000511	0.0	1.3877787807814457e-17
y000512	0.0	-0.6210614165902785
y000514	0.0	0.0
y000518	0.0	3.469446951953614e-18
y000519	0.0	-0.0
y000520	0.0	0.0
y000521	0.0	-0.0
y000522	0.0	-0.0
y000523	0.0	-0.0
y000524	0.0	0.0
y000525	0.0	-3.545881161839353
y000526	0.0	-0.17786047529791582
y000527	0.0	-0.06840787511458224
y000528	0.0	-2.220446049250313e-16
y000529	0.0	-4.440892098500626e-16
y000530	0.0	0.0
y000531	0.0	-9.143588129865506
y000532	0.0	1.6653345369377348e-16
y000533	0.0	0.0
y000534	1.0	0.0
y000535	0.0	0.0
y000536	0.0	0.0
y000537	0.0	-1.3877787807814457e-17
y000538	0.0	0.0
y000539	0.0	-2.5308177477391163
y000540	0.0	-0.027363150045833326
y000541	0.0	-3.2202870394439778
y000542	0.0	0.0
y000543	0.0	0.0
y000544	0.0	-0.10945260018333247
y000545	0.0	6.661338147750939e-16
y000546	0.5306809319888918	0.0
y000547	0.0	-0.06840787511458313
y000548	0.5306809319888918	0.0
y000549	-1.2693148827109512e-18	0.0
y000550	0.0	-0.17509679714328819
y000551	0.0	-0.02008455213364431
y000552	0.0	-0.17509679714328819
y000553	0.0	0.0
y000554	0.0	0.0
y000555	0.0	6.938893903907228e-18
y000556	0.0	-0.08208945013749869
y000557	0.0	0.0
y000558	0.0	0.0
y000559	-7.5541789623255e-18	0.0
y000560	0.0	0.0
y000561	0.0	-0.02736315004583334
y000562	0.0	0.0
y000563	0.0	2.220446049250313e-16
y000564	0.0	0.0
y000565	0.0	0.0
y000566	1.2221267848347797e-17	0.0
y000567	0.0	-4.563571438343991
y000568	0.0	-0.01368157502291606
y000569	0.5306809319888928	0.0
y000570	-1.3367019097564706e-15	0.0
y000571	0.0	0.0
y000572	0.0	0.0
y000573	0.0	0.0
y000574	0.0	0.0
y000575	0.0	0.0
y000576	0.0	0.0
y000577	0.0	0.0
y000578	0.0	0.0
y000579	0.0	0.0
y000580	0.0	0.0
y000581	0.0	0.0
y000582	0.0	0.0
y000583	0.0	0.0
y000584	0.0	0.0
y000585	0.0	0.0
y000586	0.0	0.0
y000587	0.0	0.0
y000588	0.0	0.0
y000589	0.0	0.0
y000590	0.0	0.0
y000591	0.0	0.0
y000592	0.0	0.0
y000593	0.0	0.0
y000594	0.0	0.0
y000595	0.0	0.0
y000596	0.0	-1.269485983226387
y000597	0.0	0.0
y000598	0.0	-18.391101503605103
y000599	0.0	-18.391101503605103
y000600	0.0	-1.269485983226387
y000601	0.0	0.0
y000602	0.0	-18.391101503605103
y000603	0.0	-18.391101503605103
y000604	0.0	-18.391101503605103
y000605	0.0	-18.391101503605103
y000606	0.0	-1.269485983226387
y000607	0.0	0.0
y000608	0.0	-18.391101503605103
y000609	0.0	-18.391101503605103
y000610	0.0	-1.269485983226387
y000611	0.0	0.0
y000612	0.0	-18.391101503605103
y000613	0.0	-18.391101503605103
y000614	0.0	-18.391101503605103
y000615	0.0	-18.391101503605103
y000616	0.0	0.0
y000617	0.0	0.0
y000618	0.0	0.0
y000619	0.0	0.0
y000620	0.0	0.0
y000621	0.0	0.0
y000622	0.0	0.0
y000623	0.0	0.0
y000624	0.0	0.0
y000625	0.0	0.0
y000626	0.0	0.0
y000627	0.0	0.0
y000628	0.0	0.0
y000629	0.0	0.0
y000630	0.0	0.0
y000631	0.0	0.0
y000632	0.0	0.0
y000633	0.0	0.0
y000634	0.0	0.0
y000635	0.0	0.0
y000636	0.0	0.0
y000637	0.0	0.0
y000638	0.0	0.0
y000639	0.0	0.0
y000640	0.0	0.0
y000641	0.0	0.0
y000642	0.0	0.0
y000643	0.0	0.0
y000644	0.0	0.0
y000645	0.0	0.0
y000646	0.0	-8.881784197001252e-16
y000647	0.0	0.0
y000648	0.0	0.0
y000649	0.0	0.0
y000650	0.0	-8.881784197001252e-16
y000651	0.0	0.0
y000652	0.0	0.0
y000653	0.0	0.0
y000654	0.0	0.0
y000655	0.0	0.0
y000656	0.0	0.0
